2024-12-16 14:38:30,565 - INFO - 127.0.0.1 - - [16/Dec/2024 14:38:30] "POST /api/outer/user_db/addUser HTTP/1.1" 200 -
2024-12-16 14:38:39,901 - INFO - 127.0.0.1 - - [16/Dec/2024 14:38:39] "POST /api/outer/user_db/login HTTP/1.1" 200 -
2024-12-16 14:39:27,642 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:39:27,646 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:39:27,689 - INFO - 127.0.0.1 - - [16/Dec/2024 14:39:27] "POST /api/outer/user_db/deleteUser HTTP/1.1" 200 -
2024-12-16 14:39:43,464 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:39:43,482 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:39:43,487 - INFO - 127.0.0.1 - - [16/Dec/2024 14:39:43] "POST /api/outer/user_db/deleteUser HTTP/1.1" 200 -
2024-12-16 14:39:49,356 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:39:49,357 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:39:49,358 - INFO - 127.0.0.1 - - [16/Dec/2024 14:39:49] "POST /api/outer/user_db/deleteUser HTTP/1.1" 200 -
2024-12-16 14:39:52,270 - INFO - 127.0.0.1 - - [16/Dec/2024 14:39:52] "POST /api/outer/user_db/deleteUser HTTP/1.1" 200 -
2024-12-16 14:39:59,161 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:39:59,162 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:39:59,163 - INFO - 127.0.0.1 - - [16/Dec/2024 14:39:59] "POST /api/outer/user_db/deleteUser HTTP/1.1" 200 -
2024-12-16 14:41:34,138 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:41:34,139 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:41:34,140 - INFO - 127.0.0.1 - - [16/Dec/2024 14:41:34] "POST /api/outer/user_db/updateUser HTTP/1.1" 200 -
2024-12-16 14:41:47,190 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:41:47,215 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:41:47,220 - INFO - 127.0.0.1 - - [16/Dec/2024 14:41:47] "POST /api/outer/user_db/updateUser HTTP/1.1" 200 -
2024-12-16 14:41:52,782 - INFO - 127.0.0.1 - - [16/Dec/2024 14:41:52] "POST /api/outer/user_db/updateUser HTTP/1.1" 200 -
2024-12-16 14:42:03,226 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:42:03,227 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:42:03,228 - INFO - 127.0.0.1 - - [16/Dec/2024 14:42:03] "POST /api/outer/user_db/updateUser HTTP/1.1" 200 -
2024-12-16 14:42:44,711 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:42:44,712 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:42:44,713 - INFO - 127.0.0.1 - - [16/Dec/2024 14:42:44] "POST /api/outer/user_db/updateUser HTTP/1.1" 200 -
2024-12-16 14:44:11,467 - INFO - 127.0.0.1 - - [16/Dec/2024 14:44:11] "POST /api/outer/user_db/selectUser HTTP/1.1" 200 -
2024-12-16 14:44:20,170 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:44:20,172 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:44:20,180 - INFO - 127.0.0.1 - - [16/Dec/2024 14:44:20] "POST /api/outer/user_db/selectUser HTTP/1.1" 200 -
2024-12-16 14:44:45,093 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:44:45,109 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:44:45,114 - INFO - 127.0.0.1 - - [16/Dec/2024 14:44:45] "POST /api/outer/user_db/selectUser HTTP/1.1" 200 -
2024-12-16 14:46:00,707 - INFO -  ˝æ›ø‚≈‰÷√≥…π¶º”‘ÿ
2024-12-16 14:46:00,708 - INFO - MySQL ˝æ›ø‚¡¨Ω”≥…π¶
2024-12-16 14:46:00,712 - INFO - 127.0.0.1 - - [16/Dec/2024 14:46:00] "POST /api/outer/user_db/selectUser HTTP/1.1" 200 -
